cand_id,cand_name,spe_id,spe_nam,ele_type,can_office_state,can_office_dis,can_office,cand_pty_aff,exp_amo,exp_date,agg_amo,sup_opp,pur,pay,file_num,amndt_ind,tran_id,image_num,receipt_dat,fec_election_yr,prev_file_num,dissem_dt
"H2LA02131","PETERSON, KAREN CARTER","C00659219","AMERICAN JOBS AND GROWTH PAC","S","LA","02","H","DEMOCRATIC PARTY","15000","01-MAR-21","32000","O","Digital Advertising","Go Viral, LLC","1502572","N","SE.4386","202103029431312731","02-MAR-21","2022","","01-MAR-21"
"H2LA02131","PETERSON, KAREN CARTER","C00659219","AMERICAN JOBS AND GROWTH PAC","S","LA","02","H","DEMOCRATIC PARTY","17000","18-FEB-21","17000","O","Digital Advertising","Go Viral, LLC","1501450","N","SE.4381","202102199428682175","19-FEB-21","2022","","19-FEB-21"
"S4GA11285","PERDUE, DAVID","C00687103","Americans for Prosperity Action, Inc.","R","GA","00","S","REPUBLICAN PARTY","100000","04-JAN-21","0","S","CANVASSING EXPENSE","CAMPAIGN HEADQUARTERS","1485667","N","SE24.5471","202101059394540100","05-JAN-21","2022","","04-JAN-21"
"S8GA00180","OSSOFF, T.","C00739557","Asian American Advocacy Fund PAC","R","GA","00","S","DEMOCRATIC PARTY","900","01-JAN-21","1650","S","Digital Advertising","Facebook","1484993","N","500255364","202101029394494861","02-JAN-21","2022","","01-JAN-20"
"S8GA00180","OSSOFF, T.","C00739557","Asian American Advocacy Fund PAC","R","GA","00","S","DEMOCRATIC PARTY","750","01-JAN-21","1650","S","Digital Advertising","Google LLC","1484993","N","500255366","202101029394494862","02-JAN-21","2022","","01-JAN-20"
"S8GA00180","OSSOFF, T.","C00739557","Asian American Advocacy Fund PAC","R","GA","00","S","DEMOCRATIC PARTY","900","03-JAN-21","5555","S","Digital Advertising","Facebook","1485436","N","500280274","202101049394504783","04-JAN-21","2022","","03-JAN-21"
"S8GA00180","OSSOFF, T.","C00739557","Asian American Advocacy Fund PAC","R","GA","00","S","DEMOCRATIC PARTY","1000","02-JAN-21","3550","S","Digital Advertising","Google LLC","1485127","N","500255372","202101039394495560","03-JAN-21","2022","","02-JAN-21"
"S8GA00180","OSSOFF, T.","C00739557","Asian American Advocacy Fund PAC","R","GA","00","S","DEMOCRATIC PARTY","900","02-JAN-21","3550","S","Digital Advertising","Facebook","1485127","N","500255370","202101039394495559","03-JAN-21","2022","","02-JAN-21"
"S8GA00180","OSSOFF, T.","C00739557","Asian American Advocacy Fund PAC","R","GA","00","S","DEMOCRATIC PARTY","1000","03-JAN-21","5555","S","Digital Advertising","Google LLC","1485436","N","500280272","202101049394504784","04-JAN-21","2022","","03-JAN-21"
"S8GA00180","OSSOFF, T.","C00739557","Asian American Advocacy Fund PAC","R","GA","00","S","DEMOCRATIC PARTY","105","03-JAN-21","5555","S","Digital Advertising","Khabar Magazine","1485436","N","500280276","202101049394504785","04-JAN-21","2022","","03-JAN-21"
"S0GA00559","WARNOCK, RAPHAEL","C00739557","Asian American Advocacy Fund PAC","O","GA","00","S","DEMOCRATIC PARTY","900","01-JAN-21","1650","S","Digital Advertising","Facebook","1484993","N","500255365","202101029394494861","02-JAN-21","2022","","01-JAN-20"
"S0GA00559","WARNOCK, RAPHAEL","C00739557","Asian American Advocacy Fund PAC","O","GA","00","S","DEMOCRATIC PARTY","750","01-JAN-21","1650","S","Digital Advertising","Google LLC","1484993","N","500255367","202101029394494862","02-JAN-21","2022","","01-JAN-20"
"S0GA00559","WARNOCK, RAPHAEL","C00739557","Asian American Advocacy Fund PAC","O","GA","00","S","DEMOCRATIC PARTY","1000","02-JAN-21","3550","S","Digital Advertising","Google LLC","1485127","N","500255373","202101039394495560","03-JAN-21","2022","","02-JAN-21"
"S0GA00559","WARNOCK, RAPHAEL","C00739557","Asian American Advocacy Fund PAC","O","GA","00","S","DEMOCRATIC PARTY","105","03-JAN-21","5555","S","Digital Advertising","Khabar Magazine","1485436","N","500280277","202101049394504785","04-JAN-21","2022","","03-JAN-21"
"S0GA00559","WARNOCK, RAPHAEL","C00739557","Asian American Advocacy Fund PAC","O","GA","00","S","DEMOCRATIC PARTY","900","02-JAN-21","3550","S","Digital Advertising","Facebook","1485127","N","500255371","202101039394495559","03-JAN-21","2022","","02-JAN-21"
"S0GA00559","WARNOCK, RAPHAEL","C00739557","Asian American Advocacy Fund PAC","O","GA","00","S","DEMOCRATIC PARTY","1000","03-JAN-21","5555","S","Digital Advertising","Google LLC","1485436","N","500280273","202101049394504784","04-JAN-21","2022","","03-JAN-21"
"S0GA00559","WARNOCK, RAPHAEL","C00739557","Asian American Advocacy Fund PAC","O","GA","00","S","DEMOCRATIC PARTY","900","03-JAN-21","5555","S","Digital Advertising","Facebook","1485436","N","500280275","202101049394504783","04-JAN-21","2022","","03-JAN-21"
"S8GA00180","OSSOFF, T. JONATHAN","C00762872","BATTLEGROUND GEORGIA","R","GA","00","S","DEMOCRATIC PARTY","20000","","20000","S","Canvassing - Estimate","Canvassing Pros US LLC","1485131","N","SE.6741","202101039394495570","03-JAN-21","2022","","02-JAN-21"
"S0GA00559","WARNOCK, RAPHAEL","C00762872","BATTLEGROUND GEORGIA","R","GA","00","S","DEMOCRATIC PARTY","20000","","20000","S","Canvassing - Estimate","Canvassing Pros US LLC","1485131","N","SE.6743","202101039394495570","03-JAN-21","2022","","02-JAN-21"
"S8GA00180","OSSOFF, T. JONATHAN","C90016072","BEND THE ARC JEWISH ACTION INC","R","GA","00","S","DEMOCRATIC PARTY","999.99","05-JAN-21","999.99","S","Text Messages and Phone Calls","Outvote","1485503","N","F57.5079","202101059394506542","05-JAN-21","2022","",""
"S8GA00180","OSSOFF, T. JONATHAN","C90016072","BEND THE ARC JEWISH ACTION INC","R","GA","00","S","DEMOCRATIC PARTY","661.02","05-JAN-21","2661","S","Text Messages and Phone Calls","Scale to Win","1485503","N","F57.5077","202101059394506543","05-JAN-21","2022","",""
