year,state,county,FIPS,votes_dem,votes_gop,total_votes
2000,Alabama,Autauga,1001.0,4942.0,11993.0,17208
2000,Alabama,Baldwin,1003.0,13997.0,40872.0,56480
2000,Alabama,Barbour,1005.0,5188.0,5096.0,10395
2000,Alabama,Bibb,1007.0,2710.0,4273.0,7101
2000,Alabama,Blount,1009.0,4977.0,12667.0,17973
2000,Alabama,Bullock,1011.0,3395.0,1433.0,4904
2000,Alabama,Butler,1013.0,3606.0,4127.0,7803
2000,Alabama,Calhoun,1015.0,15781.0,22306.0,38909
2000,Alabama,Chambers,1017.0,5616.0,6037.0,11834
2000,Alabama,Cherokee,1019.0,3497.0,4154.0,7823
2000,Alabama,Chilton,1021.0,4806.0,10066.0,15092
2000,Alabama,Choctaw,1023.0,3707.0,3600.0,7374
2000,Alabama,Clarke,1025.0,4679.0,5988.0,10752
2000,Alabama,Clay,1027.0,2045.0,3719.0,5883
2000,Alabama,Cleburne,1029.0,1664.0,3333.0,5092
2000,Alabama,Coffee,1031.0,5220.0,9938.0,15434
2000,Alabama,Colbert,1033.0,10543.0,10518.0,21532
2000,Alabama,Conecuh,1035.0,2783.0,2699.0,5551
2000,Alabama,Coosa,1037.0,2104.0,2382.0,4567
2000,Alabama,Covington,1039.0,4440.0,8961.0,13613
2000,Alabama,Crenshaw,1041.0,1934.0,2793.0,4795
2000,Alabama,Cullman,1043.0,9758.0,19157.0,29525
2000,Alabama,Dale,1045.0,4906.0,10593.0,15806
2000,Alabama,Dallas,1047.0,10967.0,7360.0,18464
2000,Alabama,DeKalb,1049.0,7056.0,12827.0,20285
2000,Alabama,Elmore,1051.0,6652.0,16777.0,23804
2000,Alabama,Escambia,1053.0,4523.0,6975.0,11660
2000,Alabama,Etowah,1055.0,17433.0,21087.0,39348
2000,Alabama,Fayette,1057.0,3064.0,4582.0,7808
2000,Alabama,Franklin,1059.0,4793.0,6119.0,11103
2000,Alabama,Geneva,1061.0,2769.0,6588.0,9559
2000,Alabama,Greene,1063.0,3504.0,850.0,4396
2000,Alabama,Hale,1065.0,4652.0,2984.0,7731
2000,Alabama,Henry,1067.0,2782.0,4054.0,6932
2000,Alabama,Houston,1069.0,9412.0,22150.0,32057
2000,Alabama,Jackson,1071.0,9066.0,8475.0,17906
2000,Alabama,Jefferson,1073.0,129889.0,138491.0,273763
2000,Alabama,Lamar,1075.0,2653.0,4470.0,7249
2000,Alabama,Lauderdale,1077.0,13875.0,17478.0,32137
2000,Alabama,Lawrence,1079.0,6296.0,5671.0,12185
2000,Alabama,Lee,1081.0,14574.0,22433.0,38264
2000,Alabama,Limestone,1083.0,8992.0,14204.0,23634
2000,Alabama,Lowndes,1085.0,4557.0,1638.0,6243
2000,Alabama,Macon,1087.0,7665.0,1091.0,8831
2000,Alabama,Madison,1089.0,48199.0,62151.0,113318
2000,Alabama,Marengo,1091.0,4841.0,4690.0,9608
2000,Alabama,Marion,1093.0,4600.0,6910.0,11756
2000,Alabama,Marshall,1095.0,10381.0,17084.0,27989
2000,Alabama,Mobile,1097.0,58640.0,78162.0,139745
2000,Alabama,Monroe,1099.0,3741.0,5153.0,8951
2000,Alabama,Montgomery,1101.0,40371.0,38827.0,80328
2000,Alabama,Morgan,1103.0,16060.0,25774.0,42681
2000,Alabama,Perry,1105.0,4020.0,1732.0,5787
2000,Alabama,Pickens,1107.0,4143.0,4306.0,8540
2000,Alabama,Pike,1109.0,4357.0,6058.0,10544
2000,Alabama,Randolph,1111.0,3094.0,4666.0,7919
2000,Alabama,Russell,1113.0,8396.0,6198.0,14775
2000,Alabama,St. Clair,1115.0,6485.0,17117.0,24090
2000,Alabama,Shelby,1117.0,13183.0,47651.0,62128
2000,Alabama,Sumter,1119.0,4415.0,1629.0,6088
2000,Alabama,Talladega,1121.0,11264.0,13807.0,25451
2000,Alabama,Tallapoosa,1123.0,6183.0,9805.0,16253
2000,Alabama,Tuscaloosa,1125.0,24614.0,34003.0,60114
2000,Alabama,Walker,1127.0,11621.0,13486.0,25641
2000,Alabama,Washington,1129.0,3386.0,4117.0,7596
